time,x,y,z
34,0.8835,0.2291,0.001102
36,0.8827,0.2301,0.003755
49,0.8831,0.2317,0.005724
100,0.8835,0.2332,0.008345
101,0.8827,0.2345,0.01186
105,0.8817,0.2346,0.01468
122,0.8817,0.235,0.01559
140,0.8816,0.2355,0.01639
173,0.8814,0.2358,0.01777
174,0.8811,0.2369,0.02051
191,0.881,0.2374,0.0215
206,0.8809,0.2375,0.02414
221,0.8797,0.2381,0.02485
239,0.8794,0.2379,0.02401
256,0.8792,0.2382,0.02477
275,0.8783,0.2389,0.02373
289,0.8773,0.2395,0.02187
313,0.8761,0.2405,0.01781
322,0.8757,0.2411,0.01821
340,0.8744,0.242,0.01185
356,0.8741,0.2438,0.005358
375,0.8754,0.244,0.001885
391,0.8751,0.2447,0.001031
406,0.8768,0.2444,0.0006189
423,0.8772,0.2431,0.0006984
442,0.8784,0.2427,-0.0001195
458,0.8789,0.2419,-0.0008512
473,0.8789,0.2421,-0.001368
491,0.8794,0.2414,-0.001632
507,0.8794,0.2416,-0.002097
521,0.8799,0.2416,-0.002072
537,0.8798,0.2414,-0.001683
556,0.8802,0.2411,-0.001739
572,0.8807,0.2411,-0.001771
589,0.8812,0.2412,-0.002065
604,0.8813,0.2412,-0.002349
624,0.8814,0.2408,-0.002459
639,0.8819,0.2404,-0.002508
655,0.8817,0.2405,-0.001989
673,0.8817,0.2405,-0.00219
689,0.8817,0.2407,-0.001822
707,0.8816,0.2409,-0.001912
722,0.8815,0.2407,-0.001757
746,0.8815,0.2408,-0.001895
757,0.8817,0.2408,-0.00173
773,0.8818,0.2405,-0.001652
797,0.8817,0.2402,-0.001555
806,0.8817,0.2403,-0.001679
822,0.8821,0.2402,-0.00145
841,0.8824,0.2401,-0.001342
857,0.8825,0.24,-0.001256
874,0.8825,0.24,-0.001347
892,0.8827,0.24,-0.001241
907,0.8826,0.2401,-0.0009934
924,0.8825,0.2401,-0.0007113
940,0.8825,0.2401,-0.0005426
957,0.8825,0.2401,-0.000594
973,0.8826,0.2402,-0.0005958
991,0.8826,0.24,-0.0005668
1005,0.8825,0.24,-0.0004236
1023,0.8826,0.24,-0.0004568
1040,0.8826,0.2402,-0.0001884
1057,0.8824,0.2403,-0.0001135
