time,x,y,z
11,1.009,-0.009086,-0.2436
26,1.007,-0.006544,-0.2407
73,1.007,-0.006551,-0.2407
119,0.9766,-0.01254,-0.2759
155,0.9731,-0.007592,-0.2514
171,0.9784,-0.007376,-0.2519
187,0.976,-0.006234,-0.2458
204,0.9697,-0.002228,-0.2369
220,0.9549,-0.002882,-0.2234
238,0.9534,-0.002559,-0.2219
255,0.9397,-0.002076,-0.2199
271,0.929,-0.0008723,-0.2244
286,0.9228,-0.003192,-0.231
305,0.9189,-0.002957,-0.2306
321,0.9144,-0.003826,-0.2434
337,0.914,-0.00425,-0.2516
355,0.9152,-0.004287,-0.2511
373,0.9114,-0.004173,-0.2527
560,1.006,-0.006648,-0.269
822,0.9431,-5.763e-05,-0.2684
835,0.9441,0.0002772,-0.2689
860,0.9432,0.0009815,-0.2705
877,0.9436,0.0009898,-0.2707
890,0.9441,0.0008814,-0.2705
906,0.9446,0.0007018,-0.2699
920,0.9447,0.0006796,-0.27
936,0.945,0.0002611,-0.2691
954,0.9463,-0.0004152,-0.2676
970,0.9463,-0.0004044,-0.2676
990,0.9463,-0.0004387,-0.2676
1039,0.9614,-0.007636,-0.2533
1061,0.9612,-0.007302,-0.2532
1491,1.131,-0.1184,-0.1793
1653,0.9695,-0.007864,-0.2722
1680,0.9692,-0.007746,-0.2725
2027,1.137,-0.1197,-0.174
2153,0.9687,-0.003594,-0.2188
2175,0.9721,-0.004068,-0.2022
2189,0.9792,-0.01241,-0.1375
2203,0.9805,-0.02228,-0.08239
2227,0.97,-0.03157,-0.04941
2236,0.9695,-0.03502,-0.03001
2254,0.9674,-0.04768,-0.009192
2271,0.9588,-0.06011,0.007742
2288,0.9487,-0.06865,0.02089
2305,0.9458,-0.07461,0.03857
2320,0.9309,-0.09253,0.05252
2337,0.9172,-0.1064,0.05713
2355,0.9024,-0.1177,0.05974
2371,0.8954,-0.1266,0.07351
2386,0.8815,-0.1359,0.07214
2408,0.8668,-0.1453,0.07014
2422,0.8534,-0.1518,0.06619
2437,0.8438,-0.1603,0.07389
2455,0.833,-0.1644,0.06807
2472,0.8237,-0.1681,0.06159
2486,0.8159,-0.1716,0.05532
2505,0.8069,-0.1783,0.05792
2520,0.8017,-0.1809,0.04645
2538,0.8013,-0.1819,0.03758
2555,0.8026,-0.1819,0.02875
2572,0.7966,-0.1866,0.02734
2587,0.7988,-0.183,0.02167
2610,0.8027,-0.1794,0.01697
2622,0.8059,-0.1761,0.00958
2637,0.8029,-0.1781,0.00694
2656,0.8081,-0.1764,0.005077
2676,0.8127,-0.1752,0.00551
2687,0.8162,-0.1741,0.008889
2711,0.8182,-0.1708,0.01073
2724,0.8177,-0.1713,0.009724
2738,0.8194,-0.169,0.01132
2754,0.8208,-0.1679,0.0126
2770,0.8214,-0.1669,0.01281
2787,0.8214,-0.1669,0.0124
2811,0.822,-0.1675,0.01257
2820,0.8222,-0.1679,0.01271
2837,0.8223,-0.1678,0.01267
2853,0.8223,-0.1678,0.01248
2872,0.8223,-0.1678,0.01249
2887,0.8225,-0.168,0.01227
2904,0.8229,-0.1683,0.0118
2920,0.8229,-0.1683,0.01159
2937,0.8235,-0.1681,0.01101
2955,0.8234,-0.1678,0.0113
2970,0.824,-0.1672,0.01061
2987,0.8241,-0.1673,0.01037
3004,0.8248,-0.1668,0.009803
3021,0.8253,-0.1664,0.009791
3038,0.8251,-0.1664,0.01019
3055,0.8252,-0.1664,0.01002
3074,0.8252,-0.1663,0.01024
3087,0.8252,-0.1663,0.01024
3105,0.8253,-0.1662,0.01032
3120,0.8254,-0.1662,0.01019
3140,0.8254,-0.1659,0.01021
3154,0.8255,-0.166,0.01021
3171,0.8255,-0.1661,0.01034
3187,0.8255,-0.166,0.01024
3204,0.8252,-0.1658,0.0103
3220,0.8249,-0.1657,0.01029
3237,0.825,-0.1659,0.01032
3254,0.8249,-0.1662,0.01046
3271,0.825,-0.1662,0.01037
3288,0.8247,-0.1663,0.01064
3303,0.8247,-0.1665,0.01095
3322,0.8246,-0.1665,0.01106
3338,0.8247,-0.1665,0.011
3356,0.8246,-0.1665,0.01103
3373,0.8247,-0.1665,0.01109
3387,0.8246,-0.1665,0.01121
3404,0.8246,-0.1665,0.01117
3420,0.8244,-0.1664,0.01121
3438,0.8239,-0.1662,0.01102
3454,0.8235,-0.1661,0.01091
3471,0.8235,-0.1661,0.01082
3487,0.8232,-0.1661,0.01055
3505,0.8234,-0.1663,0.01011
3520,0.8231,-0.1662,0.01002
3538,0.8231,-0.1662,0.009923
3554,0.8232,-0.1659,0.009707
3571,0.8232,-0.1659,0.009219
3587,0.8231,-0.1658,0.008911
3606,0.8233,-0.1657,0.008859
3621,0.8233,-0.1657,0.008754
3637,0.8237,-0.1659,0.00834
3659,0.8239,-0.166,0.00801
3683,0.8243,-0.166,0.007925
3687,0.8244,-0.166,0.007773
3703,0.8249,-0.1661,0.00754
3720,0.8247,-0.1659,0.008052
3737,0.8247,-0.1659,0.00796
3754,0.8246,-0.1659,0.008294
3771,0.8244,-0.1659,0.008553
3788,0.8247,-0.1658,0.008717
3804,0.8248,-0.1658,0.008634
3823,0.8252,-0.1658,0.008589
3837,0.8255,-0.1655,0.008701
3854,0.8254,-0.1654,0.008664
3873,0.8261,-0.1654,0.008605
3887,0.8262,-0.1653,0.008508
3903,0.8271,-0.1656,0.008568
3919,0.8272,-0.1653,0.009361
3938,0.8272,-0.1651,0.00964
3954,0.8273,-0.1651,0.009588
3970,0.828,-0.1649,0.009688
3987,0.8288,-0.1648,0.009702
4004,0.8292,-0.1646,0.009714
4020,0.8294,-0.1645,0.009665
4038,0.8293,-0.1645,0.009836
4054,0.8293,-0.1642,0.009798
4071,0.8291,-0.1639,0.009945
4087,0.8292,-0.1639,0.009921
4105,0.8293,-0.164,0.009879
4121,0.8292,-0.164,0.009915
4136,0.8292,-0.1639,0.00986
4154,0.8293,-0.1639,0.009845
4171,0.8293,-0.1636,0.0101
4187,0.8294,-0.1639,0.01008
4207,0.8294,-0.164,0.009961
4221,0.8295,-0.164,0.009952
4237,0.8301,-0.1641,0.009854
4254,0.8303,-0.1642,0.009912
4271,0.8305,-0.1642,0.009665
4287,0.8306,-0.1641,0.009648
4304,0.8307,-0.164,0.009421
4322,0.8306,-0.1638,0.009466
4338,0.8306,-0.1637,0.009392
4354,0.8307,-0.1637,0.009271
4371,0.8308,-0.1636,0.009255
4391,0.8311,-0.1638,0.009003
4407,0.8311,-0.1639,0.009123
4422,0.8312,-0.164,0.009229
4439,0.8312,-0.164,0.009213
4457,0.8311,-0.1639,0.009247
4472,0.8311,-0.1638,0.009235
4486,0.8318,-0.1643,0.009171
4504,0.8318,-0.1642,0.009157
4521,0.832,-0.1643,0.009165
4537,0.8331,-0.1642,0.009355
4555,0.833,-0.1646,0.009272
4572,0.8332,-0.1645,0.009259
4589,0.8334,-0.1648,0.008938
4610,0.8342,-0.1648,0.008681
4621,0.8352,-0.1644,0.008765
4638,0.8354,-0.1643,0.008732
4653,0.8352,-0.1642,0.008613
4671,0.8353,-0.1643,0.008274
4687,0.8348,-0.1645,0.008164
4705,0.8349,-0.1645,0.008127
4720,0.8346,-0.165,0.007531
4737,0.8341,-0.1652,0.007244
4754,0.833,-0.1658,0.006922
4771,0.8331,-0.1659,0.006809
4789,0.8313,-0.1666,0.007494
4805,0.8286,-0.1666,0.008449
4821,0.8283,-0.1663,0.008977
4841,0.8281,-0.1663,0.008981
4853,0.8284,-0.1664,0.009352
4875,0.8283,-0.1661,0.009777
4887,0.8284,-0.1659,0.009667
4904,0.8285,-0.1659,0.009621
