time,x,y,z
22,0.865,0.195,0.005972
38,0.8656,0.1952,0.005684
90,0.8661,0.1953,0.005287
95,0.8663,0.1953,0.00423
105,0.8664,0.1953,0.004045
116,0.8661,0.1952,0.004475
131,0.8662,0.1952,0.004363
142,0.866,0.1951,0.004309
157,0.8662,0.1954,0.004708
174,0.8664,0.1953,0.004913
198,0.8665,0.1953,0.004796
208,0.8663,0.1952,0.005036
228,0.8666,0.195,0.005178
252,0.8664,0.1948,0.005242
260,0.8665,0.1948,0.00515
275,0.8665,0.1946,0.005232
291,0.8663,0.1941,0.005262
308,0.8663,0.1941,0.00516
343,0.8658,0.194,0.005434
346,0.8659,0.1943,0.005807
360,0.8661,0.1943,0.006219
375,0.8659,0.1942,0.00658
395,0.866,0.1942,0.006532
412,0.8662,0.1945,0.006789
426,0.8661,0.1945,0.006983
452,0.8662,0.1944,0.007131
474,0.8662,0.1946,0.007024
494,0.8662,0.1947,0.006723
509,0.8661,0.1946,0.006809
530,0.8661,0.1946,0.006795
541,0.866,0.1946,0.006808
561,0.8665,0.1945,0.006853
582,0.8667,0.1945,0.006954
592,0.8668,0.1945,0.00693
609,0.8665,0.1945,0.00702
629,0.8666,0.1944,0.007098
644,0.8668,0.1945,0.007133
657,0.8668,0.1945,0.00712
671,0.8668,0.1942,0.00719
678,0.8668,0.1942,0.007178
695,0.8669,0.1939,0.007267
710,0.8668,0.194,0.007135
728,0.8668,0.1939,0.007126
744,0.8668,0.1939,0.007042
764,0.8668,0.1939,0.00707
777,0.8668,0.1937,0.007285
795,0.8668,0.1936,0.007275
819,0.8668,0.1938,0.00736
828,0.8673,0.1942,0.008203
846,0.8674,0.1948,0.009295
864,0.8675,0.1948,0.009387
880,0.8672,0.1956,0.01311
895,0.8665,0.197,0.01822
912,0.8679,0.1979,0.02219
930,0.8693,0.199,0.02831
944,0.8696,0.1992,0.02982
961,0.8703,0.2005,0.03496
977,0.871,0.201,0.04157
999,0.8713,0.2003,0.04525
1011,0.8716,0.2006,0.04757
1028,0.8739,0.2012,0.05455
1051,0.8739,0.2018,0.05636
1059,0.8743,0.2021,0.05891
1076,0.873,0.2026,0.05961
1093,0.8732,0.2035,0.066
1111,0.8734,0.2024,0.07153
1129,0.8736,0.2027,0.07455
1146,0.8756,0.2025,0.07619
1161,0.8767,0.2019,0.07839
1178,0.8772,0.2018,0.07947
1199,0.88,0.2017,0.08096
1213,0.8806,0.2018,0.0834
1232,0.8815,0.2013,0.0831
1252,0.883,0.2015,0.0826
1261,0.8837,0.2016,0.08465
1283,0.8852,0.201,0.08452
1297,0.8859,0.1988,0.08387
1310,0.8869,0.1979,0.08206
1332,0.888,0.1962,0.08095
1346,0.8887,0.1959,0.08221
1362,0.8895,0.1957,0.08347
1377,0.8886,0.1938,0.0805
1399,0.8886,0.1942,0.08001
1410,0.8891,0.1939,0.0807
1428,0.89,0.1942,0.08007
1445,0.8903,0.1948,0.07999
1471,0.8914,0.1946,0.08012
1486,0.8919,0.1944,0.08062
1495,0.8923,0.1947,0.08064
1513,0.8934,0.1958,0.08132
1531,0.8946,0.1975,0.08457
1545,0.8953,0.1975,0.08533
1565,0.8969,0.2005,0.08789
1580,0.8996,0.2044,0.09168
1597,0.9015,0.2087,0.09518
1616,0.9027,0.2096,0.09673
1630,0.9046,0.2148,0.1001
1661,0.9089,0.2202,0.1013
1675,0.9122,0.2237,0.1029
1692,0.9137,0.2251,0.1027
1708,0.9174,0.2309,0.1049
1743,0.9192,0.2331,0.1066
1747,0.921,0.2371,0.105
1759,0.926,0.2428,0.1049
1773,0.9282,0.2455,0.1062
1791,0.9312,0.2488,0.1059
1809,0.9343,0.2524,0.106
1827,0.936,0.2549,0.105
1844,0.9398,0.2577,0.1035
1856,0.9421,0.2604,0.1042
1873,0.9468,0.2648,0.1015
1889,0.9487,0.2687,0.09921
1907,0.9512,0.2718,0.09938
1925,0.9523,0.2746,0.09762
1939,0.9543,0.276,0.0982
1956,0.9568,0.2791,0.09644
1973,0.959,0.2819,0.09633
1990,0.9594,0.2852,0.09466
2006,0.9621,0.2894,0.09269
2024,0.9624,0.2907,0.09095
2050,0.9631,0.2932,0.08927
2057,0.965,0.296,0.08867
2071,0.9655,0.2993,0.08638
2089,0.9643,0.3015,0.08473
2107,0.9658,0.3043,0.08389
2124,0.9647,0.3057,0.08114
2140,0.9631,0.3048,0.08012
2156,0.9611,0.3052,0.07956
2173,0.9619,0.3073,0.07862
2190,0.961,0.306,0.07804
2207,0.959,0.3052,0.07859
2224,0.9557,0.3045,0.0787
2247,0.9549,0.3017,0.07944
2261,0.9549,0.3027,0.07889
2274,0.954,0.2999,0.08012
2292,0.9533,0.2975,0.08052
2307,0.9532,0.298,0.08018
2323,0.9526,0.2946,0.08094
2339,0.949,0.2897,0.08047
2359,0.9467,0.285,0.08103
2374,0.9456,0.2806,0.08205
2390,0.945,0.2798,0.08189
2410,0.9433,0.2753,0.08215
2424,0.94,0.2698,0.08242
