time,x,y,z
10,1.014,0.2361,-0.1696
55,1.013,0.24,-0.1703
64,1.014,0.2425,-0.1721
71,1.014,0.2425,-0.1721
83,1.014,0.2425,-0.1721
116,1.014,0.2443,-0.1679
137,1.01,0.2491,-0.1767
157,1.01,0.2491,-0.1767
249,1.022,0.2421,-0.1694
267,1.022,0.2418,-0.1696
283,1.023,0.2412,-0.17
303,1.023,0.2411,-0.1709
318,1.023,0.241,-0.171
337,1.024,0.2417,-0.1693
350,1.024,0.2418,-0.1688
369,1.025,0.2424,-0.1691
383,1.026,0.2433,-0.1691
399,1.026,0.2433,-0.1691
415,1.031,0.2446,-0.1684
440,1.032,0.2443,-0.1711
538,1.044,0.241,-0.1565
558,1.043,0.2418,-0.1582
573,1.044,0.242,-0.1596
590,1.048,0.2409,-0.1558
610,1.056,0.2392,-0.1434
618,1.034,0.2475,-0.1498
623,1.061,0.2373,-0.1177
638,1.063,0.2369,-0.1131
662,1.07,0.2173,-0.08956
678,1.068,0.2094,-0.05903
696,1.07,0.1992,-0.02118
708,1.071,0.1949,-0.006972
723,1.073,0.1942,0.01958
747,1.075,0.1841,0.04687
757,1.077,0.1757,0.06886
773,1.078,0.1704,0.08701
787,1.075,0.1707,0.09906
807,1.071,0.1692,0.1109
822,1.07,0.1706,0.1056
1110,1.188,0.172,-0.2326
1322,1.167,0.1528,-0.2355
1601,1.157,0.1357,-0.2346
1864,1.148,0.1195,-0.223
2122,1.008,0.1637,0.1835
2138,1.006,0.1638,0.184
2160,0.9665,0.1639,0.1573
2175,0.9662,0.1644,0.1599
2191,0.9429,0.171,0.1408
2215,0.9249,0.1834,0.1219
2228,0.8634,0.2193,0.06194
2244,0.8424,0.224,0.04355
2258,0.8318,0.2286,0.03366
2272,0.8242,0.2259,0.02958
2289,0.8215,0.2226,0.02562
2307,0.8188,0.2225,0.02096
2326,0.8109,0.2249,0.01356
2340,0.8091,0.2234,0.006059
2356,0.8087,0.223,0.006413
2373,0.8063,0.2192,0.006836
2391,0.8004,0.2203,0.001074
2405,0.8023,0.2204,0.006759
2427,0.807,0.2142,0.01068
2440,0.809,0.2128,0.01721
2456,0.8058,0.2129,0.01473
2483,0.8081,0.2103,0.01913
2490,0.8096,0.2057,0.0214
2507,0.8109,0.2034,0.02067
2523,0.8093,0.2028,0.01948
2540,0.8112,0.2003,0.0187
2563,0.8146,0.1996,0.01349
2577,0.8198,0.1961,0.007137
2593,0.8251,0.1935,0.003376
2608,0.8252,0.1922,0.001169
2624,0.828,0.1903,-0.001114
2646,0.8298,0.1901,-1.864e-05
2656,0.8307,0.1909,0.001495
2671,0.8311,0.1901,0.000225
2688,0.8303,0.1913,0.001348
2704,0.8301,0.1916,0.001367
2722,0.8307,0.1917,0.001727
2741,0.8309,0.1912,0.0009715
2755,0.8325,0.191,0.002009
2772,0.8335,0.1912,0.002032
2788,0.8336,0.1904,0.00268
2804,0.8339,0.19,0.002157
2825,0.8367,0.1887,0.003485
2841,0.8382,0.1886,0.005296
2858,0.8391,0.1877,0.006895
2872,0.8398,0.1872,0.006618
2889,0.8407,0.1856,0.007592
2907,0.8415,0.1855,0.008485
2925,0.8418,0.1856,0.009543
2942,0.8424,0.1852,0.009488
2956,0.8432,0.1857,0.01041
2973,0.8427,0.1869,0.01036
2990,0.8423,0.1875,0.009814
3005,0.8427,0.1873,0.009792
3023,0.8425,0.1875,0.00899
3042,0.8424,0.187,0.008169
3056,0.8428,0.1861,0.007019
3074,0.8432,0.1858,0.006883
3090,0.8426,0.1857,0.006946
3108,0.8424,0.1858,0.00698
3126,0.8424,0.1855,0.006727
3144,0.8425,0.1847,0.006439
3159,0.8427,0.1845,0.006323
3178,0.8427,0.185,0.006535
3189,0.8428,0.185,0.005923
3205,0.843,0.1849,0.005824
3221,0.843,0.1842,0.005697
