time,x,y,z
2,0.7417,-0.1907,0.02324
23,0.7417,-0.1907,0.02327
55,0.7416,-0.1912,0.02395
65,0.7423,-0.1927,0.02538
80,0.7423,-0.1928,0.02553
101,0.7423,-0.193,0.02656
116,0.7419,-0.1933,0.02652
131,0.7418,-0.1933,0.02667
148,0.742,-0.1933,0.02729
163,0.7427,-0.1937,0.028
180,0.7432,-0.1935,0.02829
200,0.7433,-0.1936,0.02848
214,0.7442,-0.1931,0.02941
230,0.7455,-0.1931,0.02989
248,0.7468,-0.1934,0.02943
264,0.7481,-0.1933,0.02953
280,0.7484,-0.1933,0.02979
299,0.7479,-0.1932,0.02945
316,0.7475,-0.1933,0.02904
331,0.7476,-0.1933,0.02914
348,0.7474,-0.1935,0.0289
364,0.7473,-0.1937,0.02864
381,0.7469,-0.1937,0.0279
398,0.7464,-0.1939,0.02736
415,0.7465,-0.194,0.02742
432,0.7462,-0.1945,0.02669
448,0.7456,-0.1944,0.02612
465,0.745,-0.1946,0.02529
480,0.745,-0.1947,0.02524
502,0.7445,-0.1954,0.02443
512,0.7443,-0.1963,0.0232
531,0.7442,-0.1964,0.02306
548,0.7446,-0.1961,0.02315
564,0.7446,-0.1956,0.02315
580,0.7448,-0.1952,0.02339
596,0.7448,-0.1953,0.02333
613,0.7458,-0.1954,0.02331
631,0.7458,-0.1954,0.02324
646,0.7458,-0.1954,0.02336
663,0.7458,-0.1954,0.02332
679,0.746,-0.1954,0.02308
696,0.7454,-0.1954,0.02265
712,0.7447,-0.1953,0.02194
730,0.7447,-0.1954,0.0218
746,0.7452,-0.1953,0.02232
763,0.7456,-0.1957,0.02252
781,0.7459,-0.1958,0.02261
800,0.7459,-0.1959,0.02253
813,0.746,-0.1961,0.0223
830,0.7457,-0.1965,0.02218
847,0.7453,-0.1971,0.02129
863,0.7453,-0.1972,0.02115
880,0.7448,-0.1982,0.02091
901,0.7432,-0.1982,0.02101
913,0.7425,-0.1983,0.02133
931,0.7424,-0.1985,0.0212
946,0.7418,-0.1988,0.0214
964,0.7415,-0.1984,0.02166
982,0.742,-0.1982,0.02165
998,0.7419,-0.1982,0.0216
1013,0.7424,-0.1981,0.02184
1030,0.7425,-0.198,0.02179
1046,0.7424,-0.1979,0.02118
1063,0.7416,-0.1981,0.02047
1079,0.7418,-0.1981,0.01961
1096,0.7417,-0.1977,0.01953
1113,0.7418,-0.1974,0.01964
1129,0.7417,-0.1975,0.01954
1148,0.7416,-0.1972,0.01954
1162,0.7418,-0.1969,0.01971
1179,0.7414,-0.1968,0.01969
1197,0.7414,-0.1968,0.0196
1213,0.7414,-0.1966,0.01953
1230,0.7417,-0.1966,0.01932
1246,0.742,-0.1968,0.01884
1263,0.7419,-0.1968,0.01874
1280,0.7419,-0.1969,0.01871
1297,0.742,-0.1967,0.019
1313,0.742,-0.1967,0.01917
1330,0.742,-0.1967,0.0191
1349,0.7414,-0.1964,0.0187
1364,0.741,-0.1962,0.01818
1380,0.7412,-0.1961,0.01803
1398,0.7412,-0.1961,0.01794
1414,0.7417,-0.196,0.01796
1430,0.742,-0.196,0.01802
1447,0.7423,-0.1962,0.0183
1465,0.7423,-0.1962,0.01823
1480,0.7429,-0.1964,0.01824
1501,0.7431,-0.1967,0.01796
1513,0.7434,-0.197,0.01765
1531,0.7434,-0.1971,0.01755
1547,0.7436,-0.1972,0.01787
1563,0.7438,-0.1973,0.01803
1580,0.744,-0.1971,0.01855
1597,0.7441,-0.1971,0.01849
1618,0.7441,-0.197,0.0188
1630,0.7439,-0.1967,0.01876
1643,0.7437,-0.1966,0.0187
1653,0.7437,-0.1966,0.01867
1670,0.7434,-0.1967,0.01856
1685,0.7435,-0.1967,0.01852
1703,0.7434,-0.1966,0.01853
1720,0.7436,-0.1968,0.01862
1734,0.7439,-0.1968,0.01861
1750,0.7439,-0.1969,0.01858
1766,0.7438,-0.1969,0.0185
1783,0.7437,-0.197,0.01852
1800,0.7438,-0.1974,0.01862
1817,0.7438,-0.1974,0.01859
1835,0.7438,-0.1976,0.0183
1853,0.7439,-0.1978,0.01793
1869,0.744,-0.1983,0.01719
1885,0.744,-0.1983,0.01711
1911,0.7436,-0.1981,0.01726
1922,0.7433,-0.1979,0.01716
1933,0.7434,-0.1979,0.01716
1950,0.7434,-0.1979,0.01712
1966,0.7434,-0.1979,0.01734
1988,0.7435,-0.1978,0.01812
1999,0.7438,-0.1979,0.01835
2022,0.7439,-0.1979,0.01889
2053,0.7444,-0.198,0.01901
2063,0.7444,-0.1981,0.019
2079,0.7444,-0.1979,0.01952
2095,0.7444,-0.1978,0.01949
2114,0.7447,-0.1975,0.01979
2129,0.7448,-0.1976,0.0198
2146,0.7453,-0.1972,0.02019
2163,0.7452,-0.1972,0.02007
2179,0.7452,-0.1971,0.02004
2195,0.7452,-0.1971,0.02005
2212,0.7455,-0.1971,0.02003
2229,0.7459,-0.1971,0.02045
2245,0.746,-0.1972,0.02049
2263,0.7461,-0.1972,0.02051
2279,0.746,-0.1972,0.02044
2300,0.746,-0.1972,0.02037
2312,0.746,-0.1971,0.02025
2330,0.746,-0.1971,0.02026
2347,0.746,-0.1971,0.02024
2364,0.746,-0.1971,0.02037
2380,0.7463,-0.1969,0.0207
2396,0.7463,-0.1969,0.02074
2414,0.7463,-0.1967,0.02076
2431,0.7466,-0.1966,0.02096
2446,0.7466,-0.1966,0.02097
2463,0.7467,-0.1966,0.02099
2480,0.7466,-0.1966,0.02094
2499,0.7465,-0.1967,0.021
2512,0.7465,-0.1968,0.02096
2531,0.7465,-0.1968,0.02097
2548,0.7464,-0.1969,0.02093
2565,0.7463,-0.1968,0.02119
2582,0.7462,-0.1968,0.02112
2598,0.7462,-0.1968,0.02114
2613,0.7463,-0.1966,0.02143
2635,0.7462,-0.1965,0.02182
2648,0.746,-0.1965,0.02201
2664,0.7456,-0.1966,0.02178
2679,0.7456,-0.1966,0.02183
2698,0.7454,-0.1966,0.02193
2713,0.7454,-0.1967,0.02201
2729,0.7454,-0.1967,0.02204
2745,0.7457,-0.197,0.02227
2763,0.7462,-0.1966,0.02307
2779,0.7472,-0.1964,0.02408
2796,0.7473,-0.1963,0.02424
2812,0.7469,-0.1965,0.02404
2829,0.7468,-0.1966,0.02392
2846,0.7464,-0.1968,0.0237
2863,0.7465,-0.1968,0.02377
2880,0.7455,-0.1972,0.02367
2899,0.7445,-0.197,0.02307
2913,0.7445,-0.1968,0.02316
2929,0.7445,-0.1968,0.02321
2945,0.7443,-0.1965,0.02338
2963,0.7444,-0.1964,0.02347
2980,0.7447,-0.1965,0.02334
2997,0.7447,-0.1964,0.02337
3014,0.7449,-0.1967,0.02332
3030,0.7451,-0.1968,0.02343
3049,0.7452,-0.1968,0.02336
3064,0.7452,-0.1968,0.02339
3082,0.7453,-0.1968,0.02326
3096,0.7455,-0.1968,0.02299
3117,0.7456,-0.1971,0.02275
3129,0.7456,-0.1971,0.02278
3147,0.7456,-0.197,0.02255
3171,0.7456,-0.197,0.02257
3182,0.7456,-0.1969,0.02259
3196,0.7456,-0.1969,0.0226
3212,0.7456,-0.1969,0.0225
3229,0.7456,-0.197,0.0224
3246,0.7456,-0.197,0.02218
3262,0.7456,-0.197,0.02219
3279,0.7455,-0.197,0.02216
3300,0.7453,-0.1972,0.02219
3314,0.7452,-0.1975,0.02197
3332,0.7452,-0.1975,0.02198
3348,0.7452,-0.1975,0.02202
3364,0.7454,-0.1975,0.02206
3379,0.7456,-0.1976,0.0221
3396,0.7456,-0.1976,0.0221
3414,0.7457,-0.1978,0.02198
3431,0.7454,-0.1979,0.02182
3447,0.7452,-0.1979,0.02168
3462,0.7452,-0.1979,0.02168
3479,0.7451,-0.1979,0.02136
3497,0.7454,-0.1981,0.02091
3524,0.7454,-0.198,0.02104
3547,0.7451,-0.1979,0.02059
3564,0.7449,-0.1978,0.02059
3582,0.745,-0.1978,0.02066
3596,0.745,-0.1978,0.02064
3613,0.7449,-0.1976,0.02081
3630,0.7446,-0.1976,0.02068
3647,0.7445,-0.1975,0.02063
3664,0.7446,-0.1972,0.02069
3681,0.7446,-0.1972,0.02067
3701,0.7445,-0.1972,0.02087
3714,0.7444,-0.1973,0.02066
3729,0.7444,-0.1973,0.02065
3747,0.7443,-0.1974,0.02044
3763,0.7442,-0.1972,0.02026
3781,0.7443,-0.197,0.02035
3796,0.7443,-0.197,0.02034
3813,0.7443,-0.197,0.02015
3828,0.7445,-0.197,0.02038
3845,0.7445,-0.1969,0.02036
3863,0.7445,-0.1969,0.02035
3879,0.7446,-0.1969,0.02037
3896,0.7447,-0.1969,0.02041
3916,0.7447,-0.1968,0.02043
3931,0.7447,-0.1968,0.02042
3946,0.7447,-0.1966,0.02061
3962,0.7445,-0.1964,0.02079
3980,0.7442,-0.1961,0.02208
3996,0.7442,-0.196,0.0221
4016,0.7442,-0.1963,0.0226
4030,0.7447,-0.1967,0.02261
4049,0.7449,-0.1965,0.02252
4064,0.7449,-0.1965,0.02254
4081,0.7449,-0.1964,0.02246
4100,0.7449,-0.1964,0.02231
4112,0.7448,-0.1966,0.02198
4129,0.7448,-0.1966,0.02199
4147,0.7448,-0.1966,0.02163
