time,x,y,z
56,-0.5206,0.02217,-0.1241
57,-0.5206,0.02227,-0.1242
64,-0.5204,0.02238,-0.1243
100,-0.5201,0.02285,-0.1243
109,-0.52,0.02285,-0.1242
130,-0.5198,0.02323,-0.124
153,-0.5198,0.02356,-0.124
163,-0.5199,0.02404,-0.1239
180,-0.5198,0.02453,-0.1239
198,-0.5198,0.02466,-0.124
225,-0.5203,0.02501,-0.1242
247,-0.5214,0.02551,-0.1235
265,-0.5215,0.02567,-0.1236
280,-0.5216,0.02549,-0.1235
300,-0.5221,0.02589,-0.1234
314,-0.522,0.02587,-0.1236
331,-0.5221,0.02598,-0.1236
347,-0.522,0.0257,-0.1238
364,-0.5221,0.02572,-0.124
379,-0.5254,-0.03621,-0.1609
396,-0.5254,-0.03614,-0.1609
423,-0.5264,-0.03532,-0.1607
433,-0.526,-0.03563,-0.1604
446,-0.5253,-0.03569,-0.1603
463,-0.5254,-0.03558,-0.1603
479,-0.5252,-0.03614,-0.1599
496,-0.525,-0.03637,-0.1598
515,-0.5198,0.02682,-0.128
530,-0.5198,0.02689,-0.128
548,-0.5196,0.02724,-0.1278
566,-0.5197,0.02847,-0.1269
580,-0.5195,0.02852,-0.1264
597,-0.5195,0.02865,-0.1264
623,-0.5191,0.02833,-0.1266
633,-0.5273,-0.03557,-0.159
648,-0.5267,-0.03579,-0.1597
663,-0.5267,-0.03565,-0.1598
697,-0.5164,0.02861,-0.1299
714,-0.5165,0.02812,-0.1298
731,-0.5164,0.0283,-0.13
747,-0.5165,0.02804,-0.1298
763,-0.5168,0.02787,-0.1297
783,-0.5165,0.02777,-0.1298
798,-0.5165,0.02781,-0.1298
829,-0.5163,0.02767,-0.13
845,-0.516,0.02753,-0.1302
862,-0.516,0.02755,-0.1303
881,-0.5162,0.02745,-0.1298
896,-0.5162,0.02759,-0.1292
914,-0.5161,0.02777,-0.1286
928,-0.5161,0.02778,-0.1287
948,-0.5162,0.02798,-0.1283
963,-0.5165,0.02825,-0.128
981,-0.5168,0.02847,-0.1278
995,-0.5168,0.02849,-0.1279
1023,-0.5168,0.02842,-0.1276
1028,-0.517,0.02839,-0.1275
1045,-0.5171,0.0284,-0.1275
1063,-0.5171,0.02841,-0.1275
1078,-0.5174,0.02849,-0.1274
1100,-0.5174,0.02831,-0.1275
1112,-0.5176,0.02835,-0.1276
1130,-0.5176,0.02835,-0.1276
1146,-0.5176,0.02826,-0.1275
1161,-0.5175,0.02832,-0.1274
1178,-0.5178,0.02823,-0.1273
1196,-0.5178,0.02822,-0.1274
1222,-0.5179,0.02818,-0.1272
1229,-0.5179,0.02836,-0.1272
1249,-0.518,0.02834,-0.127
1263,-0.5181,0.02834,-0.127
1281,-0.5181,0.02824,-0.1267
1294,-0.5178,0.02818,-0.1263
1319,-0.5176,0.02831,-0.1263
1330,-0.5176,0.02831,-0.1263
1346,-0.5176,0.02858,-0.1261
1364,-0.5174,0.02854,-0.1259
1378,-0.5171,0.02852,-0.1259
1399,-0.5172,0.02853,-0.1259
1424,-0.5171,0.02847,-0.1257
1430,-0.517,0.0285,-0.1253
1449,-0.5169,0.02849,-0.1252
1463,-0.5169,0.02849,-0.1252
1478,-0.5169,0.0287,-0.1247
1495,-0.5168,0.02905,-0.1247
1514,-0.5161,0.02928,-0.1245
1530,-0.516,0.02928,-0.1245
1548,-0.5157,0.02956,-0.1241
1564,-0.5157,0.0295,-0.1237
1579,-0.5157,0.0296,-0.1236
1597,-0.5157,0.02961,-0.1236
1623,-0.5161,0.02979,-0.1238
1630,-0.5161,0.02979,-0.1238
1651,-0.5161,0.02968,-0.124
1666,-0.5161,0.02969,-0.124
1698,-0.5161,0.02927,-0.1248
1714,-0.5159,0.02932,-0.1255
1730,-0.5159,0.02937,-0.1255
1746,-0.5162,0.02981,-0.1263
1763,-0.5163,0.02963,-0.1263
1781,-0.5164,0.0296,-0.1262
1797,-0.5164,0.02962,-0.1262
1828,-0.516,0.02928,-0.1265
1846,-0.5155,0.02968,-0.1263
1862,-0.5155,0.0297,-0.1263
1882,-0.5154,0.02974,-0.126
1896,-0.5156,0.02968,-0.1261
1914,-0.5155,0.02959,-0.1263
1932,-0.5155,0.0296,-0.1263
1947,-0.5156,0.02952,-0.1264
1965,-0.5156,0.02951,-0.1264
1982,-0.5155,0.0296,-0.1268
1997,-0.5155,0.02964,-0.1268
2023,-0.5161,0.02899,-0.128
2046,-0.5162,0.02912,-0.128
2063,-0.5162,0.02915,-0.1281
2081,-0.5163,0.02915,-0.128
2097,-0.5163,0.02917,-0.128
2117,-0.5152,0.02821,-0.1294
2130,-0.5151,0.02822,-0.1294
2149,-0.5143,0.02777,-0.1303
2168,-0.5138,0.02763,-0.1305
2181,-0.5142,0.02786,-0.13
2202,-0.5141,0.02786,-0.13
2225,-0.5144,0.02852,-0.1296
2235,-0.5145,0.02968,-0.1291
2246,-0.5142,0.03011,-0.1284
2264,-0.5141,0.0301,-0.1284
2280,-0.5262,-0.03586,-0.155
2298,-0.5266,-0.03553,-0.1543
2314,-0.5267,-0.03545,-0.1541
2329,-0.5267,-0.03536,-0.154
2346,-0.5268,-0.03569,-0.1537
2362,-0.5265,-0.03589,-0.1536
2380,-0.5266,-0.03579,-0.1537
2397,-0.5266,-0.03576,-0.1537
2414,-0.5261,-0.0354,-0.1538
2433,-0.5257,-0.03551,-0.1538
2448,-0.5256,-0.03573,-0.1539
2466,-0.5256,-0.0357,-0.1538
2481,-0.5256,-0.03578,-0.1537
2497,-0.5257,-0.03575,-0.1538
2514,-0.5259,-0.03611,-0.1535
2530,-0.5258,-0.03607,-0.1535
2547,-0.526,-0.03623,-0.1535
2565,-0.5253,-0.03605,-0.1538
2582,-0.5257,-0.03624,-0.1537
2597,-0.5257,-0.03619,-0.1536
2629,-0.5185,0.02856,-0.1243
2649,-0.5186,0.02838,-0.1246
2668,-0.5186,0.02842,-0.1246
2682,-0.5186,0.02818,-0.125
2697,-0.5186,0.02769,-0.1256
2714,-0.5186,0.02771,-0.1256
2733,-0.5187,0.02785,-0.1255
2746,-0.519,0.02767,-0.1251
2766,-0.5192,0.02774,-0.1251
2781,-0.5192,0.02775,-0.1251
2796,-0.5192,0.02776,-0.1251
2826,-0.5191,0.02775,-0.1252
2832,-0.5189,0.02786,-0.1255
2846,-0.5184,0.02787,-0.1266
2866,-0.5183,0.0279,-0.1266
2881,-0.518,0.02777,-0.1274
2899,-0.5179,0.02845,-0.128
2917,-0.518,0.02865,-0.1283
2933,-0.518,0.0287,-0.1283
2949,-0.518,0.02902,-0.1284
2963,-0.518,0.02967,-0.1286
2982,-0.5176,0.0299,-0.1286
2996,-0.5176,0.02998,-0.1286
3025,-0.5179,0.03093,-0.128
3032,-0.5182,0.03071,-0.1282
3051,-0.5185,0.03085,-0.1281
3064,-0.5186,0.03096,-0.1281
3101,-0.519,0.02972,-0.1281
3116,-0.5188,0.02927,-0.1284
3131,-0.5189,0.02934,-0.1284
3149,-0.5189,0.02918,-0.1283
3164,-0.5187,0.02914,-0.1283
3183,-0.519,0.02918,-0.128
3197,-0.519,0.0292,-0.128
3225,-0.5191,0.02906,-0.1281
3248,-0.5198,0.02943,-0.1279
3263,-0.5199,0.02946,-0.1279
3280,-0.52,0.02989,-0.1276
3298,-0.5202,0.02987,-0.1276
3314,-0.5203,0.02986,-0.1276
3334,-0.5203,0.0299,-0.1276
3348,-0.5203,0.02979,-0.1278
3365,-0.5202,0.02973,-0.1281
3384,-0.5206,0.02959,-0.1284
3397,-0.5207,0.02962,-0.1284
3426,-0.5207,0.02946,-0.1286
3447,-0.5207,0.02924,-0.1286
3464,-0.5208,0.02926,-0.1286
3479,-0.5207,0.02945,-0.1283
3497,-0.5208,0.02959,-0.128
3513,-0.521,0.02965,-0.1278
3533,-0.5211,0.02968,-0.1278
3546,-0.5211,0.0296,-0.1277
3563,-0.5214,0.02963,-0.1274
3582,-0.5217,0.02984,-0.1271
3597,-0.5218,0.02987,-0.1271
3625,-0.5219,0.03011,-0.1265
3636,-0.5218,0.03,-0.1252
3649,-0.5208,0.02927,-0.1257
3663,-0.5208,0.02928,-0.1256
3698,-0.5238,-0.03883,-0.1515
3717,-0.5148,0.02948,-0.1214
3733,-0.5145,0.02901,-0.1209
3748,-0.5136,0.02838,-0.1192
3763,-0.5122,0.02669,-0.1191
3780,-0.509,0.02598,-0.118
3799,-0.5085,0.02551,-0.1175
3821,-0.5031,0.02286,-0.1176
3836,-0.5024,0.02381,-0.1186
3846,-0.5006,0.02358,-0.1189
3862,-0.4998,0.02306,-0.1186
3880,-0.4986,0.02302,-0.119
3896,-0.4968,0.02285,-0.1193
3913,-0.4971,0.02379,-0.1182
3930,-0.4965,0.02347,-0.1181
3946,-0.4971,0.02383,-0.1172
3963,-0.4972,0.02358,-0.1167
3980,-0.4974,0.0233,-0.1166
3996,-0.4969,0.02303,-0.1165
4024,-0.4965,0.02206,-0.1167
4047,-0.4962,0.02157,-0.1177
4063,-0.4959,0.02128,-0.1177
4082,-0.4956,0.02121,-0.1186
4097,-0.4955,0.02177,-0.1188
4114,-0.4952,0.0223,-0.1191
4130,-0.4949,0.02211,-0.1192
4147,-0.495,0.0224,-0.1199
4165,-0.4956,0.02267,-0.1196
4180,-0.4963,0.02271,-0.1198
4198,-0.4961,0.02259,-0.1198
4228,-0.4964,0.02337,-0.1199
4248,-0.4959,0.02359,-0.1207
4265,-0.4957,0.02351,-0.1207
4281,-0.4955,0.0233,-0.1209
4300,-0.4957,0.02321,-0.1207
4315,-0.4959,0.02307,-0.1207
4332,-0.4958,0.02304,-0.1207
4347,-0.4958,0.02308,-0.1205
4366,-0.496,0.02296,-0.1209
4380,-0.4965,0.023,-0.1207
4396,-0.4964,0.02293,-0.1208
4424,-0.4968,0.02298,-0.1209
4447,-0.4974,0.02293,-0.1207
4464,-0.4973,0.02288,-0.1207
4482,-0.4976,0.02266,-0.1212
4498,-0.4979,0.0227,-0.1212
4519,-0.4981,0.02285,-0.1212
4533,-0.498,0.0228,-0.1213
4551,-0.4981,0.02282,-0.1214
4565,-0.4981,0.02297,-0.1214
4580,-0.4983,0.02308,-0.1211
4599,-0.4983,0.02305,-0.1211
4625,-0.4996,0.02339,-0.1196
4648,-0.5001,0.02372,-0.1197
4668,-0.5002,0.02372,-0.1197
4681,-0.5002,0.02338,-0.1197
4697,-0.5003,0.02315,-0.1201
4714,-0.5003,0.02292,-0.121
4730,-0.5003,0.02289,-0.1211
4746,-0.5004,0.023,-0.1211
4764,-0.5007,0.02311,-0.1211
4783,-0.5013,0.02295,-0.121
4798,-0.5013,0.02293,-0.121
4824,-0.5013,0.023,-0.1209
4849,-0.5015,0.02364,-0.1206
4863,-0.5015,0.02364,-0.1206
4885,-0.5019,0.0239,-0.1205
4897,-0.5025,0.02447,-0.1204
4914,-0.503,0.02481,-0.1206
4937,-0.5031,0.02485,-0.1206
4948,-0.5034,0.02494,-0.1208
4966,-0.5036,0.02537,-0.1211
4982,-0.5039,0.02571,-0.1216
4997,-0.5041,0.0258,-0.1216
5014,-0.5043,0.02642,-0.1222
5037,-0.5042,0.02706,-0.1228
5048,-0.5037,0.02678,-0.1242
5062,-0.5037,0.02692,-0.1243
5080,-0.5037,0.02715,-0.1251
5097,-0.5037,0.02665,-0.125
5115,-0.504,0.02678,-0.125
5131,-0.5041,0.0269,-0.125
5147,-0.5042,0.0271,-0.1248
5165,-0.5046,0.02708,-0.1249
5180,-0.5048,0.02697,-0.1252
5197,-0.5049,0.02705,-0.1252
5223,-0.5061,0.02715,-0.1254
5234,-0.5071,0.02708,-0.1255
5249,-0.5152,-0.04206,-0.1497
5266,-0.5154,-0.04187,-0.1497
5298,-0.5161,-0.04112,-0.1495
5316,-0.5113,0.02497,-0.1232
5332,-0.5114,0.02518,-0.1232
5349,-0.5112,0.02543,-0.1232
5367,-0.5113,0.02592,-0.1228
5381,-0.511,0.0257,-0.1231
5401,-0.5111,0.02582,-0.1231
5422,-0.5108,0.026,-0.1232
5432,-0.5103,0.02637,-0.1227
5448,-0.5103,0.02664,-0.1224
5463,-0.5103,0.0268,-0.1224
5480,-0.5101,0.02647,-0.1228
5496,-0.51,0.02622,-0.1231
5514,-0.5101,0.02646,-0.123
5531,-0.5102,0.02658,-0.123
5546,-0.5107,0.02721,-0.1229
5564,-0.5103,0.02778,-0.1235
5582,-0.5116,0.02872,-0.1232
5597,-0.5119,0.02904,-0.1231
5623,-0.5165,0.03197,-0.1222
5632,-0.5201,0.03294,-0.1213
5649,-0.5221,0.03382,-0.1206
5665,-0.5232,0.0345,-0.1204
5680,-0.5234,0.03504,-0.1204
5696,-0.5229,0.03353,-0.1212
5713,-0.5232,0.03289,-0.1214
5729,-0.5238,0.03321,-0.1213
5746,-0.5234,0.03255,-0.1216
5762,-0.5237,0.03212,-0.121
5780,-0.5233,0.03161,-0.1203
5797,-0.5237,0.03181,-0.1202
5822,-0.5243,0.03224,-0.1192
5836,-0.5241,0.03201,-0.1186
5848,-0.5244,0.03142,-0.1181
5862,-0.5248,0.03155,-0.118
5897,-0.524,0.03106,-0.1183
5913,-0.5239,0.03088,-0.1183
5932,-0.5245,0.03102,-0.1182
5947,-0.524,0.03102,-0.1184
5962,-0.5239,0.03097,-0.119
5981,-0.5239,0.03146,-0.119
5999,-0.5241,0.03154,-0.119
6024,-0.5242,0.03175,-0.1188
6048,-0.524,0.03177,-0.1185
6064,-0.5241,0.03184,-0.1185
6079,-0.5242,0.0321,-0.118
6096,-0.5243,0.03264,-0.1174
6116,-0.5248,0.03322,-0.1167
6131,-0.525,0.03335,-0.1165
6147,-0.5254,0.03363,-0.1155
6163,-0.5255,0.03387,-0.1154
6180,-0.5252,0.03391,-0.1155
6197,-0.5253,0.03402,-0.1154
6226,-0.525,0.03381,-0.1155
6246,-0.5249,0.03388,-0.1155
6264,-0.525,0.03395,-0.1154
6281,-0.5248,0.03358,-0.1158
6297,-0.5243,0.03278,-0.1165
6314,-0.5243,0.03268,-0.1169
6333,-0.5244,0.03273,-0.1168
6349,-0.5242,0.03273,-0.1169
6365,-0.524,0.03265,-0.1167
6380,-0.524,0.03256,-0.1166
6397,-0.524,0.03259,-0.1166
6426,-0.5242,0.03191,-0.1168
6432,-0.5241,0.03136,-0.117
6445,-0.5242,0.03136,-0.117
6463,-0.5241,0.03147,-0.1169
6480,-0.5241,0.03147,-0.1167
6497,-0.524,0.03149,-0.1167
6516,-0.5239,0.03134,-0.1167
6531,-0.524,0.03134,-0.1167
