time,x,y,z
16,0.8667,-0.2232,0.01251
37,0.8669,-0.223,0.01216
87,0.8669,-0.2226,0.0121
95,0.8666,-0.2224,0.01211
103,0.8667,-0.2224,0.01205
115,0.8665,-0.2224,0.01157
127,0.8666,-0.2224,0.01149
140,0.8666,-0.2225,0.01142
157,0.8665,-0.2224,0.01134
174,0.8665,-0.2223,0.01091
193,0.8666,-0.2223,0.01082
208,0.8665,-0.2229,0.01036
226,0.8666,-0.2232,0.01024
249,0.8667,-0.2233,0.01035
259,0.8668,-0.2233,0.01028
274,0.8668,-0.2236,0.01058
291,0.8666,-0.2236,0.01055
308,0.8667,-0.2236,0.01049
337,0.8664,-0.2238,0.0106
344,0.8662,-0.2243,0.01035
358,0.8659,-0.2246,0.01041
375,0.8657,-0.2244,0.01039
394,0.8658,-0.2245,0.01032
411,0.8655,-0.2247,0.01032
425,0.8655,-0.2246,0.01057
451,0.8658,-0.2246,0.0107
474,0.8661,-0.2244,0.01064
491,0.8659,-0.2243,0.01077
509,0.866,-0.2243,0.01094
527,0.866,-0.2244,0.0109
541,0.8658,-0.2244,0.01102
560,0.866,-0.2243,0.01123
579,0.8664,-0.2244,0.0112
591,0.8664,-0.2245,0.01116
609,0.8664,-0.2249,0.01121
628,0.8663,-0.2248,0.01127
643,0.8662,-0.225,0.01145
656,0.8663,-0.225,0.01143
668,0.8664,-0.2248,0.0116
677,0.8664,-0.2249,0.01158
694,0.8664,-0.2246,0.0115
710,0.8664,-0.2246,0.01136
727,0.8665,-0.2246,0.01135
744,0.8664,-0.2247,0.01138
761,0.8676,-0.2245,0.01159
777,0.8677,-0.2242,0.01174
794,0.8678,-0.2242,0.01173
815,0.8672,-0.2241,0.01196
828,0.867,-0.2236,0.01198
846,0.8667,-0.2239,0.01191
861,0.8668,-0.2239,0.01191
878,0.8668,-0.224,0.01203
895,0.8667,-0.2241,0.01219
912,0.8665,-0.2241,0.01226
929,0.8665,-0.2239,0.01225
944,0.8666,-0.2239,0.01225
961,0.8664,-0.2237,0.01249
977,0.8661,-0.2236,0.01264
995,0.8661,-0.2236,0.01264
1010,0.8658,-0.2237,0.01237
1028,0.8658,-0.2237,0.01239
1047,0.8658,-0.2237,0.01236
1059,0.8658,-0.2237,0.01236
1076,0.8661,-0.2236,0.01217
1093,0.866,-0.2237,0.01199
1110,0.8662,-0.2235,0.01191
1128,0.8662,-0.2235,0.0119
1145,0.866,-0.2234,0.01191
1160,0.8659,-0.2235,0.01182
1178,0.8666,-0.2233,0.0119
1197,0.8669,-0.2229,0.01215
1213,0.8669,-0.2229,0.01215
1231,0.867,-0.2226,0.0125
1251,0.8669,-0.2225,0.01238
1261,0.8669,-0.2225,0.01238
