time,x,y,z
19357,-0.1642,0.585,0.3753
19389,-0.1645,0.5851,0.3754
19404,-0.1648,0.5846,0.3756
19418,-0.1651,0.5843,0.3755
19433,-0.1655,0.5828,0.3752
19449,-0.1653,0.5827,0.3755
19477,-0.1654,0.5818,0.3764
19484,-0.1654,0.5818,0.3764
19501,-0.1653,0.5811,0.3778
19517,-0.1651,0.5805,0.3786
19534,-0.1649,0.5805,0.3792
19550,-0.1649,0.581,0.38
19568,-0.165,0.5807,0.38
19589,-0.1649,0.5806,0.3808
19602,-0.1645,0.5809,0.381
19616,-0.1642,0.5809,0.3813
19631,-0.1643,0.5808,0.3814
19648,-0.1641,0.5806,0.3821
19666,-0.1637,0.5806,0.3823
19682,-0.1631,0.5804,0.3825
19701,-0.1631,0.5802,0.3827
19717,-0.1628,0.5799,0.3829
19733,-0.1626,0.5795,0.3835
19750,-0.1623,0.5791,0.3841
19769,-0.1623,0.5789,0.3842
19782,-0.1617,0.5785,0.3851
19801,-0.1617,0.5783,0.3853
19816,-0.1617,0.5782,0.3854
19833,-0.1617,0.5781,0.3855
19850,-0.1618,0.5784,0.3862
19866,-0.1621,0.5779,0.3866
19883,-0.1619,0.5774,0.3875
19900,-0.1619,0.5772,0.3877
19916,-0.162,0.5768,0.3888
19937,-0.162,0.5763,0.3897
19949,-0.1631,0.5759,0.3913
19972,-0.1641,0.5757,0.3931
19982,-0.1642,0.5754,0.3937
20009,-0.1646,0.5757,0.3945
20022,-0.1654,0.5759,0.3967
20039,-0.1668,0.576,0.3983
20051,-0.1671,0.5758,0.3991
20081,-0.1675,0.5773,0.3988
20094,-0.1677,0.5772,0.3994
20105,-0.1686,0.5778,0.4001
20120,-0.1688,0.5777,0.4008
20133,-0.17,0.5783,0.4023
20150,-0.1699,0.5788,0.4028
20168,-0.1699,0.5799,0.4032
20184,-0.1701,0.58,0.4039
20206,-0.1704,0.5808,0.4053
20217,-0.1707,0.5817,0.406
20233,-0.1706,0.5821,0.4056
20252,-0.1708,0.5823,0.4062
20265,-0.1706,0.5836,0.4064
20282,-0.1708,0.585,0.4065
20300,-0.171,0.5863,0.4066
20316,-0.1712,0.5867,0.4072
20336,-0.1706,0.5883,0.4072
20352,-0.17,0.5898,0.4079
20366,-0.1701,0.5905,0.4083
20383,-0.1702,0.591,0.4088
20403,-0.1701,0.5918,0.4088
20417,-0.1701,0.5934,0.4083
20436,-0.1703,0.5946,0.4084
20449,-0.1705,0.5952,0.4088
20467,-0.1705,0.595,0.4079
20484,-0.1704,0.5953,0.4078
20500,-0.1703,0.5957,0.4078
20516,-0.1704,0.5961,0.4081
20537,-0.1704,0.5967,0.4083
20554,-0.1704,0.5974,0.4082
