time,x,y,z
21,0.7537,0.191,0.02012
24,0.7535,0.1908,0.01998
56,0.7537,0.1908,0.02027
66,0.7545,0.1911,0.02104
81,0.7544,0.191,0.02096
102,0.7544,0.1912,0.02098
116,0.7539,0.1911,0.02112
132,0.7538,0.191,0.02106
152,0.7541,0.1914,0.02149
163,0.755,0.1915,0.02262
180,0.7553,0.1912,0.02413
201,0.7552,0.1911,0.02418
214,0.7564,0.19,0.02676
231,0.7581,0.1905,0.02779
249,0.7609,0.1909,0.02938
264,0.7625,0.1911,0.03059
281,0.7628,0.191,0.03098
300,0.7638,0.1917,0.03078
317,0.7648,0.1925,0.03131
331,0.7651,0.1925,0.03161
352,0.7642,0.1929,0.03043
365,0.7631,0.1932,0.02955
381,0.7621,0.1933,0.02893
399,0.7616,0.1934,0.02886
416,0.7617,0.1934,0.02893
432,0.7611,0.1938,0.02832
449,0.7608,0.1938,0.02758
465,0.7614,0.194,0.0265
481,0.7615,0.194,0.02646
503,0.7614,0.194,0.02632
513,0.7614,0.1944,0.0266
532,0.7614,0.1944,0.02658
548,0.7616,0.1948,0.02613
564,0.7619,0.1953,0.02559
583,0.7605,0.1958,0.02522
599,0.7606,0.1959,0.02513
615,0.7594,0.1961,0.02445
635,0.7593,0.1963,0.02421
646,0.7593,0.1966,0.0236
663,0.7593,0.1967,0.02348
679,0.7591,0.1965,0.02374
696,0.7595,0.1965,0.02415
716,0.7602,0.1971,0.02491
731,0.7602,0.1972,0.02486
747,0.7606,0.1975,0.02496
765,0.7605,0.1977,0.02501
781,0.7605,0.1981,0.02513
804,0.7605,0.1982,0.0251
814,0.7613,0.1993,0.02532
830,0.7609,0.1989,0.02526
847,0.7607,0.1991,0.02546
864,0.7608,0.1992,0.02544
880,0.7607,0.1995,0.02533
903,0.7603,0.1995,0.02478
914,0.7593,0.1996,0.02401
931,0.7592,0.1998,0.02392
948,0.759,0.2002,0.02355
965,0.7585,0.2006,0.02303
982,0.7589,0.2001,0.02341
999,0.7589,0.2002,0.02337
