time,hand,action_id,other_actions
371271,robot,place_46_1,
374409,right,place_47_2,"pick_27_4,pick_28_5,pick_29_5,pick_26_4,pick_30_5,pick_25_4,pick_31_5,pick_24_4"
376286,left,place_45_2,"pick_25_4,pick_28_5,pick_29_5,pick_24_4,pick_26_4,pick_31_5,pick_30_5"
377259,robot,pick_25_4,
378681,left,pick_31_5,"place_52_5,place_53_5"
381237,right,place_53_5,"pick_29_5,pick_30_5,pick_26_4,pick_28_5,pick_24_4"
382160,right,pick_30_5,place_52_5
383583,robot,place_50_4,
385633,left,place_50_4,"pick_28_5,pick_26_4,pick_24_4,pick_29_5"
388263,left,pick_26_4,place_51_4
392642,robot,pick_29_5,
397970,robot,place_52_5,
399103,left,place_51_4,"pick_49_4,pick_51_4,pick_50_4,pick_52_5,pick_53_5"
405053,robot,pick_51_4,
406526,left,pick_49_4,"place_25_4,place_27_4,place_26_4"
409035,left,place_51_4,"pick_51_4,pick_52_5"
409920,left,pick_51_4,"place_25_4,place_26_4,place_27_4"
410135,robot,place_27_4,
410851,left,place_25_4,pick_52_5
412233,right,place_26_4,"pick_49_4,pick_51_4,pick_52_5,pick_50_4"
414602,right,pick_53_5,place_29_5
415472,right,place_29_5,"pick_48_3,pick_45_2,pick_46_1,pick_47_2"
422108,robot,pick_47_2,
426036,left,pick_46_1,"place_11_1,place_12_1,place_15_1,place_16_1,place_14_1"
427453,robot,place_20_2,
427778,left,place_16_1,"pick_44_0,pick_42_1,pick_43_1,pick_41_1"
427778,left,pick_49_4,place_26_4
428150,left,place_26_4,"pick_41_1,pick_42_1,pick_43_1,pick_44_0"
437652,robot,pick_43_1,
442853,robot,place_12_1,
443414,right,pick_46_1,"place_11_1,place_14_1,place_16_1,place_15_1"
443828,right,place_16_1,"pick_39_2,pick_41_1,pick_37_2,pick_40_3,pick_38_1,pick_43_1,pick_42_1"
446250,left,pick_37_2,"place_18_2,place_17_2"
447608,robot,pick_40_3,
449979,left,place_18_2,"pick_39_2,pick_38_1"
452604,left,pick_38_1,place_15_1
452709,left,place_15_1,pick_39_2
454682,left,pick_39_2,place_17_2
454794,robot,place_22_3,
456930,right,pick_26_4,place_26_4
457043,right,place_17_2,
457452,right,pick_27_4,"place_26_4,place_27_4"
458672,right,place_26_4,
458672,right,pick_19_2,place_19_2
458748,right,place_27_4,
461414,left,place_38_1,"pick_17_2,pick_19_2,pick_21_3,pick_18_2,pick_22_3,pick_20_2,pick_23_3"
462341,left,pick_37_2,"place_37_2,place_39_2"
464207,robot,pick_19_2,
465807,right,pick_20_2,"place_37_2,place_39_2"
469348,robot,place_37_2,
470173,left,place_39_2,"pick_22_3,pick_21_3"
470270,right,place_31_5,"pick_21_3,pick_22_3"
474251,robot,pick_12_1,
476888,left,pick_11_1,"place_41_1,place_42_1,place_43_1"
478602,robot,place_41_1,
483413,robot,pick_15_1,
486199,right,pick_18_2,
488281,robot,place_42_1,
489681,left,place_45_2,"pick_10_1,pick_13_1,pick_9_1,pick_8_1,pick_21_3,pick_14_1,pick_17_2,pick_22_3"
489874,left,pick_16_1,place_46_1
491467,right,place_47_2,"pick_13_1,pick_8_1,pick_9_1,pick_10_1,pick_22_3,pick_21_3,pick_14_1"
494683,right,pick_21_3,place_48_3
495693,right,place_48_3,"pick_14_1,pick_9_1,pick_8_1,pick_10_1"
498195,right,pick_31_5,
498688,right,place_53_5,"pick_10_1,pick_8_1,pick_9_1,pick_14_1"
500845,right,pick_30_5,
501408,right,place_52_5,"pick_10_1,pick_8_1,pick_9_1,pick_14_1"
503281,right,pick_27_4,
503738,robot,pick_14_1,
511190,robot,place_46_1,
519590,robot,pick_25_4,
524266,robot,place_50_4,
528534,robot,pick_51_4,
529353,left,place_45_2,"pick_52_5,pick_53_5"
534417,robot,place_26_4,
538559,right,pick_53_5,"place_31_5,place_30_5"
539485,robot,pick_45_2,
540441,right,place_31_5,pick_52_5
541748,right,pick_52_5,place_30_5
542982,right,place_30_5,"pick_47_2,pick_46_1,pick_48_3"
544183,robot,place_20_2,
545719,left,place_12_1,"pick_47_2,pick_46_1,pick_48_3"
548371,left,pick_41_1,"place_14_1,place_15_1,place_16_1"
549524,robot,pick_47_2,
551546,left,place_12_1,pick_48_3
553474,left,pick_37_2,"place_18_2,place_17_2,place_19_2"
554127,left,place_37_2,pick_48_3
554468,robot,place_19_2,
560430,left,pick_18_2,"place_20_2,place_19_2,place_17_2,place_18_2"
560578,left,place_18_2,pick_48_3
563410,right,pick_18_2,"place_18_2,place_17_2"
563873,right,place_17_2,pick_48_3
564960,robot,pick_48_3,
567012,left,pick_44_0,place_7_0
567648,left,place_7_0,pick_40_3
571973,robot,place_21_3,
577338,robot,pick_20_2,
578469,left,place_18_2,"pick_13_1,pick_9_1,pick_10_1,pick_12_1,pick_11_1,pick_8_1,pick_22_3,pick_15_1,pick_16_1,pick_17_2,pick_19_2,pick_18_2,pick_14_1,pick_21_3"
582511,robot,place_37_2,
583283,right,place_40_3,"pick_8_1,pick_9_1,pick_12_1,pick_13_1,pick_10_1,pick_11_1,pick_16_1,pick_14_1,pick_18_2,pick_15_1,pick_17_2"
586649,left,pick_7_0,place_44_0
586782,robot,pick_16_1,
591682,robot,place_43_1,
596491,robot,pick_12_1,
597445,left,place_14_1,"pick_10_1,pick_8_1,pick_11_1,pick_13_1,pick_9_1,pick_14_1"
601402,robot,place_42_1,
606520,robot,pick_11_1,
611172,robot,place_42_1,
613947,left,place_41_1,"pick_13_1,pick_8_1,pick_10_1,pick_9_1,pick_14_1"
616689,robot,pick_6_0,
617664,left,pick_7_0,
620475,robot,place_6_0,
621138,left,place_7_0,"pick_13_1,pick_8_1,pick_9_1,pick_10_1,pick_21_3,pick_18_2,pick_17_2,pick_22_3,pick_14_1"
621138,right,pick_26_4,
622629,right,place_26_4,"pick_10_1,pick_9_1,pick_8_1,pick_13_1,pick_17_2,pick_14_1,pick_18_2"
625561,robot,pick_10_1,
630731,robot,place_46_1,
632606,right,place_52_5,pick_17_2
635990,robot,pick_26_4,
639478,right,pick_17_2,place_45_2
641159,robot,place_51_4,
648001,robot,pick_25_4,
