time,x,y,z
159207,-0.7058,0.1379,0.1018
159222,-0.7029,0.1346,0.09915
159236,-0.7036,0.1382,0.09919
159251,-0.7043,0.1436,0.09938
159268,-0.7046,0.1498,0.1002
159284,-0.7036,0.1497,0.09916
159303,-0.7039,0.1589,0.1004
159318,-0.7043,0.1712,0.1022
159352,-0.7054,0.1806,0.1037
159374,-0.7051,0.1915,0.1029
159390,-0.7039,0.216,0.09784
159409,-0.7058,0.2232,0.09262
159423,-0.7061,0.2393,0.0872
159438,-0.7061,0.2452,0.08586
159457,-0.7071,0.2571,0.07977
159473,-0.707,0.2579,0.07618
159502,-0.7082,0.2694,0.06965
159525,-0.7072,0.2799,0.0615
159542,-0.7068,0.2844,0.05406
159556,-0.7063,0.2893,0.04882
159573,-0.7062,0.3016,0.04212
159590,-0.7054,0.2983,0.04272
159605,-0.7056,0.3017,0.03872
159622,-0.7062,0.3054,0.03452
159637,-0.7061,0.3094,0.02751
159653,-0.7061,0.3146,0.02379
159671,-0.7063,0.3168,0.02077
159687,-0.7057,0.3189,0.01813
159703,-0.7056,0.3234,0.01474
159726,-0.7041,0.3252,0.01184
159738,-0.7039,0.3293,0.008616
159755,-0.7031,0.3327,0.008219
159771,-0.7028,0.3355,0.006402
159789,-0.7026,0.3394,0.003599
159816,-0.7018,0.3422,0.0015
159819,-0.6994,0.3446,-0.002318
159837,-0.6968,0.3489,-0.006207
159854,-0.6961,0.3526,-0.009196
159871,-0.6943,0.3562,-0.01032
159889,-0.6945,0.3581,-0.01121
159906,-0.695,0.3603,-0.01333
159922,-0.6944,0.3635,-0.01573
159938,-0.693,0.3665,-0.01838
159953,-0.6927,0.3694,-0.02045
159971,-0.6921,0.3734,-0.02247
159987,-0.6915,0.3767,-0.02479
160004,-0.6922,0.3814,-0.02673
160021,-0.6909,0.3855,-0.02873
160037,-0.6894,0.3896,-0.03109
160055,-0.6887,0.3931,-0.03341
160071,-0.6871,0.3963,-0.03483
160102,-0.686,0.3981,-0.03702
160124,-0.6851,0.4039,-0.04078
160138,-0.6843,0.407,-0.04289
160155,-0.6832,0.4108,-0.04522
160175,-0.682,0.416,-0.0472
160187,-0.6809,0.4187,-0.04843
160203,-0.68,0.4221,-0.05052
160221,-0.6793,0.425,-0.05178
160237,-0.6792,0.4291,-0.053
160255,-0.6785,0.4334,-0.05397
160271,-0.6776,0.4369,-0.05589
160301,-0.6779,0.4387,-0.05612
160321,-0.6757,0.4446,-0.0585
160337,-0.6748,0.4478,-0.06014
160354,-0.6734,0.4511,-0.06091
160371,-0.6724,0.4543,-0.06112
160387,-0.6723,0.4573,-0.06105
160405,-0.6714,0.4605,-0.06242
160422,-0.6727,0.4634,-0.06233
160439,-0.6734,0.4648,-0.06101
160456,-0.6744,0.4657,-0.06099
160472,-0.6739,0.4686,-0.06196
160499,-0.6752,0.4653,-0.06217
160522,-0.675,0.4669,-0.06321
160545,-0.6749,0.4669,-0.06307
160560,-0.6746,0.4686,-0.06376
160572,-0.6753,0.4684,-0.06324
160588,-0.6758,0.4678,-0.063
160605,-0.6764,0.4666,-0.06323
160619,-0.6762,0.4678,-0.06372
160638,-0.6771,0.4668,-0.06336
160654,-0.6777,0.4661,-0.06287
160671,-0.6776,0.467,-0.06322
160688,-0.6776,0.4653,-0.0632
160707,-0.6783,0.4636,-0.06351
160723,-0.6792,0.4625,-0.06323
160741,-0.6794,0.4614,-0.06276
160755,-0.6794,0.4618,-0.06297
160771,-0.6798,0.4602,-0.06182
160787,-0.6813,0.458,-0.06102
160805,-0.6814,0.4561,-0.06081
160821,-0.6815,0.4561,-0.06087
160838,-0.6824,0.4537,-0.06006
160855,-0.6825,0.4522,-0.05915
160873,-0.6827,0.4519,-0.05907
160901,-0.6833,0.4499,-0.05738
160922,-0.6838,0.4483,-0.05636
160939,-0.6856,0.4461,-0.05434
160956,-0.6859,0.4456,-0.05392
160973,-0.6873,0.4441,-0.05163
160989,-0.688,0.4432,-0.04869
161007,-0.6877,0.4426,-0.04484
161022,-0.6881,0.4419,-0.04377
161040,-0.6889,0.442,-0.03356
161055,-0.6905,0.4491,-0.01875
161071,-0.6913,0.4491,-0.01511
161105,-0.6793,0.4578,-0.002206
161112,-0.6788,0.4579,-0.0003328
161124,-0.6667,0.4546,0.008586
161138,-0.6659,0.4545,0.009503
161153,-0.6652,0.4544,0.01042
161428,-0.7409,0.4121,-0.3135
161435,-0.7413,0.4128,-0.3141
161465,-0.7414,0.4133,-0.314
161653,-0.7625,0.4028,-0.2892
161677,-0.7622,0.403,-0.2894
161732,-0.7512,0.3857,-0.3098
161768,-0.7628,0.3889,-0.3109
161791,-0.7833,0.4051,-0.2644
161803,-0.7833,0.4051,-0.2644
161817,-0.7946,0.4081,-0.2438
161834,-0.7946,0.4081,-0.2438
161859,-0.7956,0.407,-0.2431
161907,-0.8051,0.3863,-0.2599
161920,-0.8053,0.3857,-0.2605
161936,-0.8253,0.3937,-0.2333
161968,-0.8416,0.3951,-0.242
162004,-0.842,0.393,-0.2421
162138,-0.7729,0.3892,-0.2952
162261,-0.7727,0.388,-0.296
162269,-0.7731,0.3894,-0.2965
162311,-0.7808,0.3953,-0.287
162553,-0.7824,0.3891,-0.2888
162568,-0.8019,0.3861,-0.2763
162598,-0.8009,0.3869,-0.2749
162608,-0.8006,0.3872,-0.2746
163210,-0.7626,0.4369,-0.2998
163307,-0.7087,0.3545,-0.1121
163318,-0.7095,0.3545,-0.1126
163337,-0.7104,0.352,-0.1144
163355,-0.7096,0.3423,-0.1218
163371,-0.7144,0.3317,-0.1311
163391,-0.7183,0.3251,-0.1363
163407,-0.7193,0.3226,-0.1385
163422,-0.7232,0.3148,-0.1447
163439,-0.7239,0.3132,-0.144
163456,-0.7263,0.3105,-0.1428
163473,-0.7276,0.308,-0.1447
163502,-0.7304,0.3004,-0.1413
163525,-0.7325,0.2912,-0.1426
163552,-0.7334,0.2833,-0.1455
163569,-0.7333,0.273,-0.1479
163586,-0.7343,0.2668,-0.1474
163605,-0.7356,0.2622,-0.149
163620,-0.7352,0.2563,-0.1475
163637,-0.7347,0.2524,-0.1457
163656,-0.7342,0.2469,-0.1452
163669,-0.7351,0.2423,-0.146
163698,-0.7382,0.2351,-0.1448
163725,-0.7401,0.2306,-0.1384
163735,-0.7412,0.2261,-0.1381
163751,-0.7428,0.2231,-0.1348
163770,-0.743,0.2238,-0.1338
163787,-0.7437,0.2215,-0.1318
163804,-0.7447,0.2181,-0.1311
163821,-0.7459,0.2172,-0.1301
163836,-0.7474,0.2175,-0.1291
163852,-0.7471,0.2174,-0.129
163868,-0.7479,0.215,-0.1284
163897,-0.7494,0.2134,-0.1277
163919,-0.7494,0.2147,-0.1281
163936,-0.7482,0.2161,-0.1303
163951,-0.7473,0.2186,-0.1335
163971,-0.7467,0.2204,-0.1355
163985,-0.7471,0.2218,-0.1354
164003,-0.7474,0.2211,-0.1355
164018,-0.7474,0.2221,-0.1361
164035,-0.7481,0.2228,-0.1359
164054,-0.7486,0.2245,-0.1355
164069,-0.7489,0.2241,-0.1355
164098,-0.7503,0.2247,-0.1342
164111,-0.7502,0.226,-0.1337
164119,-0.7505,0.2258,-0.1336
164134,-0.7507,0.226,-0.1331
164168,-0.7525,0.2282,-0.1323
164184,-0.7522,0.2287,-0.1326
164201,-0.7525,0.2287,-0.1325
164218,-0.753,0.2291,-0.1326
164235,-0.7533,0.2298,-0.1334
164251,-0.7524,0.2319,-0.1371
164269,-0.7527,0.232,-0.1373
164295,-0.7479,0.2399,-0.1434
164318,-0.7443,0.2433,-0.1464
164334,-0.7441,0.2442,-0.1472
164352,-0.7449,0.2447,-0.1469
164368,-0.7429,0.2502,-0.149
164385,-0.7414,0.2583,-0.1517
164402,-0.7409,0.2604,-0.1529
164418,-0.7394,0.2646,-0.1537
164437,-0.7388,0.2666,-0.1538
164454,-0.7383,0.2703,-0.1534
164468,-0.7377,0.2724,-0.1543
164498,-0.7379,0.2783,-0.1554
164521,-0.7383,0.2789,-0.1547
164540,-0.7376,0.2792,-0.1538
164552,-0.736,0.2799,-0.152
164569,-0.7333,0.2793,-0.1487
164587,-0.7297,0.276,-0.1436
164604,-0.7284,0.2774,-0.1434
164621,-0.7234,0.271,-0.1377
164636,-0.7257,0.2607,-0.1296
164653,-0.7249,0.2564,-0.1275
164670,-0.724,0.2561,-0.1267
164696,-0.7243,0.2564,-0.1297
164724,-0.7161,0.2578,-0.1295
164735,-0.7159,0.2578,-0.1295
164751,-0.716,0.2578,-0.1295
164792,-0.697,0.3255,-0.1727
164816,-0.6958,0.328,-0.1751
164827,-0.6956,0.3283,-0.1754
164835,-0.6939,0.3302,-0.1774
164851,-0.6934,0.333,-0.1798
164869,-0.6931,0.3335,-0.1803
164895,-0.6936,0.3347,-0.1807
164906,-0.6938,0.3358,-0.1803
164917,-0.6936,0.3363,-0.1807
164937,-0.6938,0.3373,-0.1804
164969,-0.6934,0.3388,-0.1798
164986,-0.6938,0.3399,-0.1791
165002,-0.6934,0.341,-0.1794
165019,-0.694,0.3409,-0.1785
165034,-0.6942,0.3418,-0.1782
165052,-0.6946,0.3417,-0.1783
165068,-0.6945,0.3421,-0.1784
165097,-0.6947,0.3419,-0.1793
165121,-0.6961,0.3406,-0.1806
165137,-0.6961,0.3409,-0.1809
165152,-0.6975,0.3398,-0.1813
165168,-0.6992,0.3375,-0.1826
165187,-0.6995,0.3359,-0.1825
165203,-0.6997,0.3359,-0.1829
165220,-0.6996,0.3359,-0.1827
